Customer ID;Company Name;Employees;Revenue (M€);Growth Rate;Budget Level;Last Sale (months ago);Avg. Sale (€);Purchase Frequency (per year);Contacted Before This year;Notes;YTD Purchase Amount (€);AVG Yearly spenditure (€);Yearly Revenue Growth Rate (%)
1;GreenLeaf Foods;25;4,2;High;Medium;2;15000;6;Yes;Expanding into EU;90000;75000;4,4
2;TechNova Startups;12;1,5;High;Low;10;5000;2;No;Early-stage firm;10000;22000;3,2
3;MediCore Clinics;60;12;Medium;High;1;50000;8;Yes;Compliance critical;400000;415000;2,2
4;UrbanStyle Wear;40;6,8;Medium;Medium;7;20000;3;No;Seasonal peaks;60000;57500;1,2
5;AgroGrowth BV;18;3;Low;Low;15;8000;1;No;Rural operations;8000;4000;0,9
6;FinSure Partners;75;15;High;High;3;60000;5;Yes;Fast-growing;300000;440000;11,4
7;BrightEdu Schools;30;5,5;Medium;Medium;4;12000;4;Yes;Expanding online;48000;52500;7,6
8;MoveLogistics BV;50;9;Medium;Medium;9;25000;3;No;Needs efficiency;75000;60000;2,2
9;SolarEdge Europe;20;4,5;High;Medium;6;18000;4;No;Renewable sector;72000;250000;5,2
10;ArtisPrint Design;10;1,2;Low;Low;12;7000;1;Yes;Small studio;7000;10000;2,1
